NM,range,mean_max_03,tpr,tnr
3.5,6625,0.7966,0.02003,0.02003
3.5,6635,0.7966,0.02003,0.02003
3.5,6645,0.7966,0.02003,0.02003
3.5,6655,0.7966,0.02003,0.02003
3.5,6665,0.7966,0.02003,0.02003
3.5,6675,0.7966,0.02003,0.02003
3.5,6685,0.7966,0.02003,0.02003
3.5,6695,0.7966,0.02003,0.02003
3.5,6705,0.7966,0.02003,0.02003
3.5,6715,0.7966,0.02003,0.02003
3.5,6725,0.7966,0.02003,0.02003
3.5,6735,0.7966,0.02003,0.02003
3.5,6745,0.7966,0.02003,0.02003
3.5,6755,0.7966,0.02003,0.02003
3.5,6765,0.7966,0.02003,0.02003
