range,tpr,tnr
10725,0.0036,0.0036
10735,0.0036,0.0036
10745,0.0036,0.0036
10755,0.0036,0.0036
10765,0.0036,0.0036
10775,0.0036,0.0036
10785,0.0036,0.0036
10795,0.0036,0.0036
10805,0.0036,0.0036
10815,0.0036,0.0036
10825,0.0036,0.0036
10835,0.0036,0.0036
10845,0.0036,0.0036
10855,0.0036,0.0036
10865,0.0036,0.0036
10875,0.0036,0.0036
10885,0.0036,0.0036
10895,0.0036,0.0036
10905,0.0036,0.0036
10915,0.0036,0.0036
10925,0.0036,0.0036
10935,0.0036,0.0036
10945,0.0036,0.0036
10955,0.0036,0.0036
